time_sec,voltage_v,current_a,temperature_c,soc_pct
2724.20,3.4187,-2.0106,35.40,34.90
2743.45,3.4155,-2.0124,35.46,34.62
2762.62,3.4118,-2.0099,35.55,34.31
2781.92,3.4083,-2.0152,35.61,34.02
2801.25,3.4044,-2.0151,35.68,33.70
2820.62,3.4002,-2.0129,35.76,33.35
2839.94,3.3961,-2.0097,35.82,33.01
2859.23,3.3918,-2.0125,35.91,32.65
2878.58,3.3870,-2.0125,36.00,32.25
2897.94,3.3820,-2.0124,36.07,31.84
2917.28,3.3765,-2.0118,36.15,31.38
2936.69,3.3705,-2.0131,36.23,30.87
2956.08,3.3638,-2.0131,36.32,30.32
2975.45,3.3569,-2.0105,36.40,29.74
2994.97,3.3487,-2.0134,36.48,29.06
3014.45,3.3396,-2.0120,36.57,28.30
3033.89,3.3296,-2.0141,36.68,27.47
3053.38,3.3182,-2.0101,36.77,26.52
3072.86,3.3049,-2.0139,36.86,25.41
3092.33,3.2904,-2.0110,36.98,24.20
3111.83,3.2737,-2.0123,37.07,22.81
3131.23,3.2545,-2.0111,37.18,21.21
3150.67,3.2331,-2.0112,37.31,19.43
3170.19,3.2083,-2.0117,37.42,17.36
3189.73,3.1800,-2.0111,37.56,15.00
3209.30,3.1472,-2.0117,37.69,12.27
3229.02,3.1093,-2.0134,37.84,9.11
3248.62,3.0654,-2.0148,37.98,5.45
3268.33,3.0131,-2.0111,38.13,1.09
3287.97,2.9492,-2.0142,38.30,0.00
3307.62,2.8660,-2.0106,38.48,0.00
3327.23,2.7573,-2.0141,38.67,0.00
3346.94,2.6125,-2.0126,38.90,0.00
35.70,3.9792,-2.0147,24.74,81.60
53.83,3.9569,-2.0137,24.90,79.74
71.89,3.9401,-2.0128,25.08,78.34
90.05,3.9261,-2.0113,25.26,77.17
108.31,3.9143,-2.0116,25.45,76.19
126.39,3.9039,-2.0126,25.65,75.32
144.62,3.8947,-2.0134,25.83,74.56
162.72,3.8861,-2.0097,26.03,73.84
180.95,3.8782,-2.0123,26.20,73.18
199.02,3.8706,-2.0151,26.37,72.55
217.30,3.8637,-2.0144,26.57,71.97
235.47,3.8571,-2.0130,26.74,71.43
253.74,3.8508,-2.0130,26.91,70.90
271.81,3.8447,-2.0129,27.08,70.39
290.06,3.8388,-2.0131,27.26,69.90
308.27,3.8331,-2.0155,27.41,69.42
326.42,3.8277,-2.0133,27.57,68.98
344.59,3.8225,-2.0146,27.74,68.54
362.78,3.8174,-2.0127,27.90,68.12
381.02,3.8124,-2.0158,28.04,67.70
399.25,3.8072,-2.0119,28.20,67.27
417.42,3.8025,-2.0137,28.34,66.87
435.56,3.7974,-2.0122,28.50,66.45
453.75,3.7926,-2.0105,28.64,66.05
472.03,3.7877,-2.0116,28.78,65.64
490.33,3.7827,-2.0124,28.92,65.22
508.52,3.7779,-2.0125,29.05,64.82
526.64,3.7728,-2.0107,29.18,64.40
544.89,3.7681,-2.0119,29.28,64.01
563.08,3.7634,-2.0168,29.41,63.62
581.24,3.7588,-2.0122,29.52,63.24
599.50,3.7545,-2.0137,29.62,62.87
617.70,3.7500,-2.0120,29.71,62.50
636.03,3.7456,-2.0121,29.79,62.14
654.17,3.7413,-2.0137,29.89,61.77
672.34,3.7372,-2.0141,29.96,61.43
690.55,3.7331,-2.0125,30.03,61.09
708.84,3.7291,-2.0123,30.09,60.76
727.05,3.7250,-2.0125,30.15,60.42
745.27,3.7209,-2.0119,30.21,60.07
763.70,3.7171,-2.0104,30.27,59.76
782.00,3.7132,-2.0133,30.33,59.43
800.25,3.7092,-2.0126,30.37,59.10
818.56,3.7054,-2.0107,30.41,58.78
836.95,3.7013,-2.0123,30.45,58.44
855.34,3.6975,-2.0139,30.50,58.12
873.58,3.6936,-2.0135,30.54,57.80
891.83,3.6898,-2.0107,30.58,57.49
910.25,3.6859,-2.0127,30.63,57.16
928.62,3.6822,-2.0103,30.68,56.85
947.00,3.6782,-2.0118,30.73,56.52
965.34,3.6747,-2.0119,30.77,56.22
983.69,3.6710,-2.0146,30.81,55.91
1002.00,3.6674,-2.0122,30.87,55.62
1020.34,3.6638,-2.0127,30.93,55.32
1038.70,3.6602,-2.0122,30.98,55.02
1057.08,3.6567,-2.0138,31.03,54.73
1075.42,3.6531,-2.0124,31.08,54.42
1093.75,3.6497,-2.0127,31.13,54.14
1112.06,3.6463,-2.0103,31.19,53.86
1130.48,3.6429,-2.0123,31.24,53.57
1148.75,3.6396,-2.0090,31.28,53.30
1167.09,3.6359,-2.0136,31.33,52.99
1185.44,3.6327,-2.0135,31.38,52.72
1203.88,3.6294,-2.0132,31.45,52.45
1222.17,3.6260,-2.0115,31.49,52.17
1240.56,3.6226,-2.0113,31.55,51.88
1259.09,3.6194,-2.0101,31.60,51.62
1277.45,3.6161,-2.0126,31.65,51.34
1295.84,3.6129,-2.0143,31.71,51.07
1314.39,3.6098,-2.0156,31.75,50.81
1332.77,3.6063,-2.0114,31.81,50.52
1351.23,3.6032,-2.0128,31.86,50.27
1369.69,3.6001,-2.0120,31.91,50.01
1388.14,3.5970,-2.0145,31.96,49.75
1406.61,3.5939,-2.0118,32.01,49.50
1425.19,3.5908,-2.0146,32.06,49.24
1443.70,3.5877,-2.0145,32.10,48.98
1462.28,3.5847,-2.0124,32.16,48.72
1480.67,3.5818,-2.0143,32.22,48.48
1499.20,3.5786,-2.0107,32.26,48.22
1517.77,3.5758,-2.0122,32.30,47.99
1536.31,3.5728,-2.0158,32.35,47.73
1554.83,3.5697,-2.0124,32.40,47.48
1573.42,3.5668,-2.0126,32.45,47.24
1591.97,3.5641,-2.0118,32.50,47.01
1610.53,3.5610,-2.0131,32.55,46.75
1629.23,3.5583,-2.0128,32.59,46.53
1647.84,3.5555,-2.0132,32.63,46.29
1666.50,3.5529,-2.0103,32.68,46.08
1685.09,3.5503,-2.0156,32.72,45.86
1703.72,3.5472,-2.0135,32.78,45.60
1722.34,3.5447,-2.0124,32.82,45.39
1741.02,3.5420,-2.0121,32.86,45.17
1759.70,3.5395,-2.0134,32.92,44.96
1778.36,3.5369,-2.0116,32.94,44.74
1796.97,3.5346,-2.0108,32.99,44.55
1815.62,3.5319,-2.0125,33.04,44.32
1834.30,3.5296,-2.0119,33.07,44.14
1852.95,3.5272,-2.0146,33.12,43.93
1871.66,3.5250,-2.0130,33.16,43.75
1890.31,3.5226,-2.0126,33.20,43.55
1909.17,3.5201,-2.0117,33.26,43.34
1927.88,3.5179,-2.0145,33.29,43.16
1946.67,3.5160,-2.0141,33.35,43.00
1965.41,3.5139,-2.0135,33.39,42.82
1984.19,3.5117,-2.0122,33.43,42.64
2002.91,3.5095,-2.0132,33.47,42.46
2021.62,3.5074,-2.0137,33.52,42.28
2040.36,3.5055,-2.0147,33.55,42.12
2059.08,3.5037,-2.0113,33.60,41.98
2077.86,3.5016,-2.0104,33.64,41.80
2096.64,3.5001,-2.0130,33.70,41.67
2115.69,3.4980,-2.0097,33.75,41.50
2134.59,3.4959,-2.0142,33.79,41.33
2153.56,3.4943,-2.0155,33.83,41.19
2172.41,3.4922,-2.0119,33.88,41.01
2191.25,3.4904,-2.0111,33.93,40.87
2210.11,3.4888,-2.0115,33.98,40.74
2228.94,3.4866,-2.0114,34.04,40.55
2247.95,3.4850,-2.0115,34.08,40.42
2266.88,3.4828,-2.0116,34.13,40.24
2286.00,3.4809,-2.0088,34.18,40.07
2305.03,3.4790,-2.0125,34.22,39.92
2323.99,3.4770,-2.0135,34.28,39.75
2342.91,3.4752,-2.0132,34.33,39.60
2362.02,3.4733,-2.0134,34.39,39.44
2381.12,3.4711,-2.0125,34.44,39.26
2400.08,3.4690,-2.0124,34.49,39.08
2419.06,3.4670,-2.0119,34.55,38.92
2438.08,3.4649,-2.0119,34.61,38.74
2457.17,3.4624,-2.0141,34.66,38.53
2476.27,3.4603,-2.0126,34.72,38.36
2495.36,3.4580,-2.0117,34.79,38.17
2514.44,3.4557,-2.0103,34.85,37.98
2533.44,3.4533,-2.0131,34.90,37.77
2552.52,3.4510,-2.0149,34.96,37.58
2571.58,3.4484,-2.0142,35.02,37.37
2590.74,3.4457,-2.0112,35.09,37.15
2609.81,3.4433,-2.0134,35.15,36.94
2628.97,3.4408,-2.0136,35.22,36.73
2648.27,3.4376,-2.0129,35.29,36.46
2667.52,3.4349,-2.0127,35.36,36.24
2686.74,3.4318,-2.0114,35.43,35.98
2706.05,3.4285,-2.0125,35.51,35.71
2725.33,3.4252,-2.0143,35.58,35.43
2744.70,3.4219,-2.0132,35.65,35.16
2763.91,3.4183,-2.0156,35.73,34.86
2783.05,3.4146,-2.0126,35.80,34.55
2802.34,3.4109,-2.0118,35.88,34.24
2821.64,3.4069,-2.0118,35.95,33.91
2840.92,3.4026,-2.0105,36.02,33.55
2860.41,3.3978,-2.0095,36.10,33.15
2879.77,3.3934,-2.0111,36.18,32.79
2899.14,3.3881,-2.0097,36.25,32.34
2918.44,3.3824,-2.0143,36.33,31.87
2937.92,3.3762,-2.0092,36.41,31.35
2957.41,3.3696,-2.0116,36.50,30.80
2976.81,3.3620,-2.0144,36.58,30.17
2996.19,3.3538,-2.0145,36.66,29.48
3015.64,3.3442,-2.0133,36.74,28.69
3035.09,3.3336,-2.0101,36.84,27.80
3054.58,3.3213,-2.0106,36.94,26.78
3074.02,3.3072,-2.0125,37.04,25.60
3093.53,3.2909,-2.0117,37.15,24.24
3113.09,3.2724,-2.0119,37.24,22.70
3132.64,3.2506,-2.0136,37.37,20.88
3152.24,3.2263,-2.0117,37.48,18.86
3171.77,3.1981,-2.0123,37.61,16.51
3191.25,3.1657,-2.0114,37.75,13.81
3210.70,3.1280,-2.0116,37.89,10.66
3230.38,3.0833,-2.0103,38.02,6.94
3250.03,3.0304,-2.0116,38.18,2.54
3269.69,2.9652,-2.0128,38.35,0.00
3289.53,2.8783,-2.0140,38.52,0.00
3309.19,2.7579,-2.0137,38.71,0.00
3328.83,2.5872,-2.0110,38.93,0.00
35.77,3.9800,-2.0155,24.79,81.67
53.89,3.9582,-2.0148,24.94,79.85
72.09,3.9417,-2.0119,25.12,78.47
90.19,3.9279,-2.0129,25.31,77.33
108.33,3.9162,-2.0105,25.50,76.35
126.61,3.9057,-2.0138,25.68,75.48
144.83,3.8966,-2.0121,25.88,74.72
163.06,3.8884,-2.0139,26.05,74.03
181.25,3.8805,-2.0112,26.25,73.37
199.41,3.8730,-2.0134,26.42,72.75
217.45,3.8662,-2.0109,26.61,72.18
235.52,3.8598,-2.0109,26.76,71.65
253.80,3.8531,-2.0142,26.94,71.09
271.94,3.8471,-2.0130,27.11,70.59
290.11,3.8412,-2.0137,27.27,70.10
308.25,3.8355,-2.0131,27.43,69.63
326.38,3.8302,-2.0152,27.58,69.18
344.56,3.8249,-2.0141,27.73,68.74
362.72,3.8197,-2.0107,27.89,68.31
380.84,3.8148,-2.0097,28.04,67.90
399.08,3.8096,-2.0108,28.20,67.47
417.23,3.8047,-2.0148,28.34,67.06
435.44,3.7996,-2.0144,28.49,66.63
453.64,3.7948,-2.0128,28.63,66.23
471.84,3.7897,-2.0127,28.77,65.80
490.06,3.7848,-2.0141,28.90,65.40
508.28,3.7799,-2.0136,29.03,64.99
526.52,3.7749,-2.0133,29.16,64.58
544.75,3.7701,-2.0164,29.28,64.17
562.97,3.7652,-2.0157,29.38,63.76
581.19,3.7606,-2.0132,29.48,63.38
599.36,3.7564,-2.0074,29.58,63.03
617.55,3.7516,-2.0142,29.67,62.64
635.72,3.7473,-2.0124,29.76,62.28
654.08,3.7432,-2.0133,29.85,61.93
672.36,3.7389,-2.0136,29.92,61.57
690.56,3.7348,-2.0123,29.97,61.23
709.00,3.7308,-2.0117,30.03,60.90
727.17,3.7267,-2.0136,30.10,60.56
745.45,3.7229,-2.0128,30.15,60.24
763.67,3.7189,-2.0136,30.20,59.91
781.94,3.7146,-2.0103,30.25,59.55
800.31,3.7109,-2.0132,30.30,59.24
818.64,3.7069,-2.0128,30.34,58.91
836.97,3.7028,-2.0102,30.39,58.57
855.34,3.6991,-2.0126,30.43,58.26
873.73,3.6951,-2.0086,30.48,57.92
892.12,3.6914,-2.0158,30.53,57.62
910.34,3.6873,-2.0130,30.57,57.27
928.64,3.6837,-2.0123,30.61,56.98
947.03,3.6798,-2.0147,30.66,56.65
965.42,3.6762,-2.0124,30.71,56.35
983.78,3.6725,-2.0142,30.75,56.04
1002.16,3.6689,-2.0133,30.81,55.75
1020.53,3.6654,-2.0151,30.86,55.45
1038.88,3.6617,-2.0124,30.90,55.14
1057.39,3.6582,-2.0103,30.95,54.85
1075.81,3.6545,-2.0129,31.02,54.54
1094.17,3.6511,-2.0142,31.06,54.25
1112.55,3.6476,-2.0115,31.12,53.97
1130.91,3.6439,-2.0132,31.17,53.66
1149.20,3.6407,-2.0112,31.21,53.39
1167.50,3.6373,-2.0113,31.28,53.10
1185.84,3.6339,-2.0134,31.33,52.83
1204.23,3.6305,-2.0141,31.39,52.54
1222.56,3.6270,-2.0107,31.43,52.25
1241.00,3.6238,-2.0111,31.49,51.98
1259.41,3.6208,-2.0143,31.54,51.73
1277.88,3.6171,-2.0134,31.60,51.43
1296.27,3.6140,-2.0143,31.66,51.17
1314.69,3.6107,-2.0114,31.70,50.89
1333.20,3.6076,-2.0129,31.76,50.63
1351.70,3.6043,-2.0126,31.81,50.36
1370.20,3.6011,-2.0136,31.87,50.10
1388.70,3.5981,-2.0146,31.92,49.84
1407.23,3.5948,-2.0114,31.97,49.56
1425.77,3.5918,-2.0131,32.01,49.32
1444.31,3.5886,-2.0145,32.06,49.05
1462.78,3.5855,-2.0126,32.11,48.79
1481.39,3.5826,-2.0155,32.15,48.55
1499.95,3.5797,-2.0144,32.20,48.30
1518.48,3.5768,-2.0131,32.25,48.07
1537.09,3.5739,-2.0128,32.31,47.82
1555.64,3.5707,-2.0117,32.35,47.56
1574.20,3.5680,-2.0093,32.39,47.33
1592.73,3.5649,-2.0103,32.45,47.07
1611.27,3.5622,-2.0146,32.49,46.85
1629.81,3.5593,-2.0113,32.53,46.61
1648.41,3.5565,-2.0107,32.57,46.38
1666.98,3.5539,-2.0103,32.62,46.16
1685.52,3.5511,-2.0131,32.66,45.92
1704.25,3.5485,-2.0121,32.70,45.71
1722.81,3.5457,-2.0139,32.74,45.47
1741.47,3.5432,-2.0149,32.80,45.26
1760.16,3.5406,-2.0091,32.84,45.05
1778.83,3.5382,-2.0109,32.89,44.85
1797.55,3.5357,-2.0116,32.93,44.64
1816.30,3.5332,-2.0125,32.97,44.44
1835.03,3.5307,-2.0082,33.01,44.23
1853.78,3.5285,-2.0120,33.06,44.04
1872.53,3.5261,-2.0133,33.10,43.84
1891.27,3.5240,-2.0105,33.14,43.66
1910.03,3.5213,-2.0123,33.20,43.44
1928.69,3.5195,-2.0133,33.24,43.29
1947.34,3.5171,-2.0145,33.28,43.09
1966.06,3.5148,-2.0116,33.33,42.90
1984.72,3.5128,-2.0140,33.38,42.74
2003.44,3.5108,-2.0104,33.42,42.57
2022.20,3.5089,-2.0128,33.45,42.41
2040.98,3.5070,-2.0103,33.51,42.25
2059.77,3.5050,-2.0109,33.54,42.08
2078.56,3.5031,-2.0120,33.59,41.92
2097.36,3.5011,-2.0108,33.64,41.76
2116.09,3.4992,-2.0121,33.68,41.60
2134.86,3.4975,-2.0122,33.73,41.46
2153.72,3.4955,-2.0115,33.77,41.29
2172.67,3.4938,-2.0125,33.82,41.15
2191.61,3.4916,-2.0130,33.88,40.97
2210.52,3.4899,-2.0129,33.92,40.83
2229.44,3.4880,-2.0122,33.97,40.67
2248.42,3.4861,-2.0135,34.01,40.51
2267.47,3.4842,-2.0108,34.06,40.35
2286.41,3.4826,-2.0113,34.12,40.22
2305.30,3.4806,-2.0115,34.17,40.05
2324.28,3.4785,-2.0135,34.22,39.87
2343.36,3.4765,-2.0132,34.28,39.71
2362.25,3.4744,-2.0104,34.33,39.53
2381.20,3.4724,-2.0110,34.38,39.36
2400.27,3.4705,-2.0106,34.44,39.21
2419.23,3.4683,-2.0124,34.49,39.03
2438.31,3.4660,-2.0094,34.56,38.83
2457.42,3.4638,-2.0123,34.63,38.65
2476.48,3.4618,-2.0117,34.68,38.48
2495.62,3.4593,-2.0137,34.73,38.28
2514.73,3.4570,-2.0124,34.80,38.09
2533.86,3.4546,-2.0134,34.86,37.89
2552.94,3.4521,-2.0133,34.91,37.68
2572.02,3.4496,-2.0127,34.98,37.46
2591.12,3.4470,-2.0111,35.05,37.25
2610.27,3.4442,-2.0114,35.12,37.02
2629.44,3.4416,-2.0118,35.18,36.80
2648.64,3.4388,-2.0127,35.26,36.57
2667.77,3.4357,-2.0135,35.32,36.31
2686.91,3.4327,-2.0118,35.40,36.06
2705.98,3.4295,-2.0132,35.46,35.79
2725.27,3.4260,-2.0104,35.54,35.50
2744.56,3.4227,-2.0124,35.61,35.23
2763.81,3.4191,-2.0099,35.68,34.93
2783.16,3.4151,-2.0104,35.76,34.59
2802.41,3.4113,-2.0166,35.83,34.28
2821.72,3.4073,-2.0110,35.91,33.94
2840.95,3.4028,-2.0114,36.00,33.57
2860.34,3.3984,-2.0134,36.06,33.20
2879.72,3.3933,-2.0128,36.14,32.78
2899.25,3.3878,-2.0093,36.21,32.32
2918.70,3.3818,-2.0117,36.30,31.82
2938.16,3.3756,-2.0130,36.37,31.30
2957.47,3.3685,-2.0121,36.46,30.71
2976.86,3.3606,-2.0101,36.54,30.05
2996.30,3.3518,-2.0136,36.62,29.31
3015.77,3.3417,-2.0143,36.71,28.48
3035.28,3.3299,-2.0125,36.81,27.49
3054.80,3.3169,-2.0134,36.90,26.41
3074.30,3.3015,-2.0141,37.02,25.13
3093.72,3.2844,-2.0131,37.12,23.70
3113.25,3.2639,-2.0122,37.25,21.99
3132.88,3.2408,-2.0123,37.36,20.06
3152.53,3.2138,-2.0128,37.47,17.82
3172.16,3.1827,-2.0128,37.59,15.23
3191.73,3.1468,-2.0088,37.73,12.23
3211.31,3.1049,-2.0117,37.88,8.74
3230.95,3.0551,-2.0127,38.03,4.59
3250.44,2.9954,-2.0113,38.18,0.00
3270.06,2.9180,-2.0133,38.35,0.00
3289.77,2.8098,-2.0147,38.54,0.00
3309.42,2.6519,-2.0131,38.74,0.00
35.75,3.9816,-2.0117,24.70,81.80
53.81,3.9600,-2.0124,24.85,80.00
72.05,3.9437,-2.0117,25.02,78.64
90.22,3.9299,-2.0124,25.21,77.49
108.38,3.9183,-2.0132,25.40,76.53
126.58,3.9081,-2.0130,25.59,75.68
144.78,3.8991,-2.0104,25.77,74.93
163.02,3.8905,-2.0140,25.94,74.21
181.20,3.8828,-2.0126,26.13,73.57
199.38,3.8754,-2.0111,26.31,72.95
217.59,3.8686,-2.0115,26.48,72.38
235.86,3.8619,-2.0125,26.65,71.83
254.06,3.8555,-2.0122,26.82,71.29
272.24,3.8494,-2.0133,26.99,70.78
290.36,3.8433,-2.0099,27.16,70.27
308.55,3.8377,-2.0105,27.32,69.81
326.78,3.8324,-2.0112,27.47,69.36
344.86,3.8272,-2.0150,27.63,68.93
363.09,3.8218,-2.0118,27.78,68.49
381.25,3.8168,-2.0120,27.94,68.07
399.39,3.8119,-2.0122,28.09,67.66
417.50,3.8069,-2.0119,28.23,67.24
435.61,3.8019,-2.0120,28.38,66.82
453.81,3.7968,-2.0115,28.52,66.40
471.97,3.7917,-2.0127,28.66,65.97
490.28,3.7866,-2.0129,28.79,65.55
508.49,3.7815,-2.0124,28.93,65.12
526.62,3.7770,-2.0123,29.04,64.75
544.88,3.7719,-2.0131,29.17,64.32
563.09,3.7671,-2.0118,29.28,63.92
581.24,3.7624,-2.0126,29.39,63.53
599.47,3.7579,-2.0125,29.48,63.16
617.56,3.7533,-2.0138,29.57,62.78
635.83,3.7491,-2.0132,29.65,62.43
653.95,3.7449,-2.0102,29.73,62.08
672.12,3.7408,-2.0117,29.80,61.73
690.39,3.7365,-2.0159,29.87,61.37
708.56,3.7324,-2.0152,29.92,61.04
726.77,3.7285,-2.0118,29.98,60.71
745.09,3.7245,-2.0133,30.04,60.37
763.34,3.7203,-2.0143,30.08,60.03
781.62,3.7162,-2.0127,30.13,59.68
800.02,3.7124,-2.0104,30.18,59.36
818.45,3.7084,-2.0116,30.22,59.03
836.58,3.7044,-2.0143,30.27,58.70
854.94,3.7009,-2.0108,30.32,58.41
873.33,3.6968,-2.0144,30.36,58.07
891.74,3.6928,-2.0139,30.40,57.74
910.08,3.6889,-2.0090,30.45,57.40
928.55,3.6850,-2.0124,30.49,57.09
946.83,3.6813,-2.0110,30.54,56.77
965.19,3.6776,-2.0106,30.58,56.47
983.50,3.6740,-2.0111,30.63,56.17
1001.92,3.6704,-2.0148,30.67,55.87
1020.19,3.6665,-2.0128,30.73,55.54
1038.53,3.6630,-2.0151,30.77,55.25
1056.86,3.6594,-2.0118,30.82,54.95
1075.12,3.6560,-2.0118,30.87,54.67
