task_id,task_type,compute_units,data_size_mb,deadline_sec,priority
T-0212,path_planning,3.89,3.22,1.11,5
T-0213,object_tracking,4.6,21.43,1.22,5
T-0214,terrain_mapping,9.71,63.24,5.07,2
T-0215,image_processing,7.29,42.97,2.63,3
T-0216,object_tracking,5.1,18.25,1.8,5
T-0217,terrain_mapping,10.02,72.91,5.19,5
T-0218,path_planning,2.86,7.44,0.97,5
T-0219,terrain_mapping,9.66,62.85,4.64,2
T-0220,anomaly_detection,6.86,30.3,1.83,1
T-0221,image_processing,7.73,54.89,2.87,1
T-0222,object_tracking,5.91,20.62,1.6,5
T-0223,terrain_mapping,11.47,81.63,5.45,2
T-0224,anomaly_detection,4.31,27.61,1.61,4
T-0225,image_processing,7.4,51.13,2.61,3
T-0226,path_planning,3.61,7.23,1.19,5
T-0227,object_tracking,5.35,20.57,1.57,5
T-0228,anomaly_detection,4.09,24.1,2.03,4
T-0229,anomaly_detection,4.02,33.05,1.9,4
T-0230,path_planning,3.48,7.86,0.84,5
T-0231,terrain_mapping,9.68,70.23,4.56,2
T-0232,object_tracking,5.19,23.83,1.29,5
T-0233,image_processing,8.7,45.44,3.16,3
T-0234,terrain_mapping,9.66,66.47,4.77,2
T-0235,image_processing,7.13,53.57,2.99,3
T-0236,image_processing,6.88,59.69,2.55,3
T-0237,path_planning,3.53,6.82,0.92,4
T-0238,terrain_mapping,8.7,71.41,5.06,2
T-0239,anomaly_detection,4.22,32.93,1.53,1
T-0240,anomaly_detection,5.73,28.6,2.0,4
T-0241,image_processing,7.62,59.32,2.67,3
T-0242,terrain_mapping,11.33,87.59,4.13,2
T-0243,path_planning,2.87,5.0,0.83,5
T-0244,anomaly_detection,4.66,31.69,1.55,4
T-0245,object_tracking,5.02,24.06,1.41,5
T-0246,path_planning,2.47,3.73,0.88,5
T-0247,image_processing,6.71,55.46,2.99,3
T-0248,object_tracking,4.9,24.24,1.54,5
T-0249,object_tracking,4.65,24.71,1.39,5
T-0250,terrain_mapping,9.77,69.08,4.41,5
T-0251,image_processing,7.24,49.04,2.56,3
T-0252,image_processing,8.58,59.55,2.59,3
T-0253,terrain_mapping,9.85,76.63,5.19,2
T-0254,terrain_mapping,11.64,77.15,4.28,2
T-0255,object_tracking,4.3,15.62,1.26,5
T-0256,anomaly_detection,6.95,21.26,1.95,4
T-0257,terrain_mapping,10.1,78.29,4.55,2
T-0258,terrain_mapping,9.64,70.15,4.9,2
T-0259,anomaly_detection,4.2,21.42,1.97,4
T-0260,object_tracking,5.75,18.33,1.55,3
T-0261,anomaly_detection,6.9,30.48,1.77,4
T-0262,image_processing,7.24,47.53,3.29,3
T-0263,object_tracking,4.19,21.7,1.51,3
T-0264,path_planning,3.9,4.71,1.11,5
T-0265,path_planning,2.31,4.48,1.12,5
T-0266,object_tracking,5.67,23.84,1.22,5
T-0267,object_tracking,4.26,18.77,1.3,5
T-0268,object_tracking,5.62,16.66,1.46,5
T-0269,path_planning,3.94,6.05,1.1,5
T-0270,path_planning,3.07,4.55,1.12,5
T-0271,path_planning,2.74,7.74,1.19,5
T-0272,anomaly_detection,6.33,27.54,1.79,4
T-0273,path_planning,3.6,3.69,0.9,5
T-0274,anomaly_detection,5.66,21.54,2.09,4
T-0275,anomaly_detection,4.25,22.4,1.81,4
T-0276,terrain_mapping,8.37,87.32,5.23,2
T-0277,image_processing,7.66,47.93,2.87,3
T-0278,image_processing,7.5,40.56,3.43,3
T-0279,anomaly_detection,6.37,22.06,1.7,4
T-0280,path_planning,3.52,5.35,1.05,5
T-0281,image_processing,7.02,56.7,3.05,3
T-0282,object_tracking,4.85,22.76,1.34,2
T-0283,terrain_mapping,10.56,78.68,4.09,2
T-0284,terrain_mapping,10.39,60.49,4.77,2
T-0285,path_planning,2.58,3.01,0.94,5
T-0286,path_planning,3.33,3.43,1.19,5
T-0287,object_tracking,5.01,24.88,1.53,5
T-0288,terrain_mapping,8.17,71.61,4.56,2
T-0289,anomaly_detection,6.37,25.17,2.01,4
T-0290,object_tracking,5.47,18.33,1.23,5
T-0291,path_planning,3.66,6.42,1.19,5
T-0292,path_planning,3.62,3.32,1.11,5
T-0293,anomaly_detection,4.6,31.87,2.12,4
T-0294,anomaly_detection,5.55,34.84,1.88,4
T-0295,path_planning,2.57,7.31,0.82,5
T-0296,anomaly_detection,4.37,25.52,2.12,4
T-0297,terrain_mapping,9.36,65.6,5.04,2
T-0298,object_tracking,4.53,15.83,1.45,5
T-0299,path_planning,3.09,4.61,0.83,5
T-0300,anomaly_detection,5.34,30.76,1.62,4
T-0301,terrain_mapping,8.17,86.1,4.53,2
T-0302,anomaly_detection,5.92,31.87,1.54,4
T-0303,terrain_mapping,9.45,84.03,5.02,2
T-0304,path_planning,3.7,6.39,0.98,2
T-0305,anomaly_detection,5.09,34.24,1.52,4
T-0306,terrain_mapping,11.8,71.16,5.14,2
T-0307,object_tracking,4.73,18.14,1.37,5
T-0308,image_processing,8.94,49.98,2.89,3
T-0309,anomaly_detection,6.32,30.56,1.65,4
T-0310,terrain_mapping,8.8,64.07,4.11,2
T-0311,terrain_mapping,11.99,84.32,5.45,2
T-0312,anomaly_detection,6.13,28.25,1.7,4
T-0313,path_planning,3.42,7.64,1.06,5
T-0314,object_tracking,4.45,24.85,1.68,5
T-0315,terrain_mapping,8.11,76.62,4.55,2
T-0316,object_tracking,4.26,23.84,1.24,5
T-0317,terrain_mapping,10.1,83.07,5.24,3
T-0318,image_processing,7.8,53.6,2.84,3
T-0319,object_tracking,5.28,16.82,1.78,5
T-0320,image_processing,9.33,50.36,2.8,3
T-0321,path_planning,2.69,7.7,1.16,5
T-0322,anomaly_detection,4.59,34.35,1.69,4
T-0323,object_tracking,5.07,20.03,1.3,5
T-0324,path_planning,2.34,6.12,1.16,5
T-0325,object_tracking,4.08,23.64,1.25,5
T-0326,object_tracking,4.53,17.11,1.54,5
T-0327,image_processing,7.99,52.54,2.79,3
T-0328,terrain_mapping,8.98,84.22,4.61,2
T-0329,image_processing,6.63,48.31,2.96,3
T-0330,path_planning,2.63,6.59,1.09,5
T-0331,terrain_mapping,8.52,71.12,4.84,2
T-0332,terrain_mapping,8.49,73.49,4.21,4
T-0333,object_tracking,4.84,24.63,1.74,5
T-0334,object_tracking,5.44,16.9,1.3,5
T-0335,terrain_mapping,10.0,69.26,4.03,2
T-0336,object_tracking,4.91,17.41,1.55,3
T-0337,terrain_mapping,10.39,85.29,5.01,2
T-0338,image_processing,9.39,48.62,3.38,3
T-0339,terrain_mapping,9.46,72.02,4.86,2
T-0340,object_tracking,4.58,18.86,1.47,5
T-0341,object_tracking,5.36,16.19,1.79,5
T-0342,anomaly_detection,5.67,25.48,1.6,4
T-0343,terrain_mapping,10.0,61.36,4.21,2
T-0344,terrain_mapping,10.08,64.47,5.34,5
T-0345,anomaly_detection,4.49,34.86,2.02,4
T-0346,anomaly_detection,5.52,27.65,1.84,4
T-0347,terrain_mapping,11.26,71.05,5.01,2
T-0348,object_tracking,4.62,23.99,1.72,5
T-0349,object_tracking,4.95,24.67,1.67,5
T-0350,object_tracking,4.46,15.51,1.49,5
T-0351,object_tracking,5.55,18.8,1.69,5
T-0352,object_tracking,5.9,16.1,1.21,5
T-0353,path_planning,2.83,4.02,1.0,5
T-0354,terrain_mapping,11.49,82.08,4.09,2
T-0355,object_tracking,4.65,21.62,1.52,5
T-0356,path_planning,2.92,5.67,1.02,5
T-0357,anomaly_detection,5.83,22.88,1.67,4
T-0358,path_planning,3.88,7.91,1.11,5
T-0359,terrain_mapping,9.27,70.46,5.4,2
T-0360,anomaly_detection,4.86,28.6,1.88,4
T-0361,terrain_mapping,11.27,88.64,5.21,2
T-0362,anomaly_detection,6.87,21.19,2.15,4
T-0363,terrain_mapping,8.86,84.84,4.41,2
T-0364,anomaly_detection,4.41,29.24,1.91,4
T-0365,object_tracking,4.45,17.33,1.26,5
T-0366,terrain_mapping,8.4,83.12,4.01,2
T-0367,path_planning,2.81,7.68,1.15,5
T-0368,path_planning,3.51,4.44,0.91,1
T-0369,object_tracking,4.46,22.39,1.71,2
T-0370,terrain_mapping,11.53,65.27,5.38,2
T-0371,terrain_mapping,11.15,65.59,5.12,2
T-0372,anomaly_detection,6.63,20.14,1.9,3
T-0373,anomaly_detection,5.36,29.62,1.87,4
T-0374,path_planning,3.7,5.34,0.88,2
T-0375,terrain_mapping,10.59,81.56,4.02,2
T-0376,anomaly_detection,5.7,31.36,1.62,4
T-0377,terrain_mapping,11.31,75.46,4.13,2
T-0378,path_planning,3.96,5.39,1.17,4
T-0379,path_planning,2.89,4.33,0.93,5
T-0380,object_tracking,4.02,21.54,1.62,1
T-0381,terrain_mapping,9.23,72.16,4.75,2
T-0382,anomaly_detection,6.07,29.58,2.16,4
T-0383,path_planning,2.44,3.67,0.86,5
T-0384,object_tracking,4.75,22.02,1.75,5
T-0385,path_planning,3.52,6.4,1.04,5
T-0386,object_tracking,4.89,22.04,1.25,5
T-0387,image_processing,9.32,58.06,2.7,3
T-0388,path_planning,2.66,5.6,0.85,5
T-0389,object_tracking,4.98,23.99,1.47,2
T-0390,object_tracking,4.83,20.64,1.54,5
T-0391,anomaly_detection,6.17,25.94,2.07,4
T-0392,object_tracking,4.15,19.24,1.62,5
T-0393,image_processing,9.74,41.38,3.43,4
T-0394,path_planning,3.54,6.83,1.19,5
T-0395,terrain_mapping,9.5,86.74,4.67,2
T-0396,terrain_mapping,9.5,80.48,4.99,2
T-0397,anomaly_detection,4.36,34.89,1.78,2
T-0398,image_processing,9.02,59.57,2.96,3
T-0399,terrain_mapping,10.13,84.7,4.37,2
T-0400,anomaly_detection,4.57,33.13,2.04,4
T-0401,object_tracking,5.53,23.84,1.21,5
T-0402,image_processing,8.38,48.93,3.17,3
T-0403,path_planning,3.48,5.01,0.89,5
T-0404,image_processing,6.56,59.87,2.73,3
T-0405,object_tracking,4.64,20.98,1.6,5
T-0406,anomaly_detection,6.63,34.79,1.86,4
T-0407,anomaly_detection,4.18,34.23,2.12,4
T-0408,terrain_mapping,10.22,61.41,4.52,2
T-0409,terrain_mapping,11.14,69.56,4.62,4
T-0410,path_planning,3.51,5.37,1.14,5
T-0411,path_planning,3.61,7.57,1.02,5
T-0412,object_tracking,5.06,18.88,1.35,5
T-0413,image_processing,9.69,56.94,2.59,3
T-0414,path_planning,2.1,4.89,1.04,1
T-0415,path_planning,3.61,5.94,1.07,5
T-0416,path_planning,3.74,4.66,1.18,2
T-0417,image_processing,8.99,55.09,3.41,3
T-0418,path_planning,2.79,4.2,0.93,5
T-0419,terrain_mapping,10.13,70.78,4.39,2
T-0420,terrain_mapping,9.86,84.08,5.08,2
T-0421,anomaly_detection,6.74,25.56,1.79,4
T-0422,path_planning,3.48,3.08,1.02,5
T-0423,terrain_mapping,9.18,65.89,4.35,2
T-0424,path_planning,3.0,6.27,1.07,5
T-0425,terrain_mapping,11.87,79.25,4.74,2
T-0426,anomaly_detection,4.51,30.8,1.84,4
T-0427,object_tracking,5.98,24.57,1.51,5
T-0428,image_processing,9.78,53.36,3.26,3
T-0429,path_planning,2.14,3.76,0.89,5
T-0430,image_processing,8.47,53.34,3.12,3
T-0431,terrain_mapping,8.06,75.97,4.62,3
T-0432,object_tracking,5.95,15.17,1.69,5
T-0433,path_planning,2.21,3.48,0.86,5
T-0434,object_tracking,4.5,18.54,1.68,4
T-0435,terrain_mapping,10.26,89.71,4.34,2
T-0436,image_processing,8.61,57.16,3.26,4
T-0437,terrain_mapping,10.21,61.68,4.01,2
T-0438,terrain_mapping,11.38,79.35,4.5,2
T-0439,image_processing,9.58,58.38,2.73,3
T-0440,object_tracking,4.95,15.47,1.24,5
T-0441,object_tracking,5.13,15.33,1.76,5
T-0442,path_planning,3.17,6.76,1.09,5
T-0443,image_processing,7.2,51.28,3.07,3
T-0444,object_tracking,4.66,22.56,1.28,5
T-0445,image_processing,8.0,59.49,2.55,3
T-0446,image_processing,7.36,55.38,3.45,3
T-0447,anomaly_detection,4.09,24.1,2.19,4
T-0448,anomaly_detection,5.66,25.63,1.63,4
T-0449,terrain_mapping,8.34,78.56,5.2,2
T-0450,image_processing,7.07,47.6,3.28,3
T-0451,terrain_mapping,9.27,63.2,4.01,2
T-0452,anomaly_detection,6.28,21.53,1.56,4
T-0453,object_tracking,5.11,19.08,1.22,5
T-0454,image_processing,8.39,55.69,3.36,4
T-0455,terrain_mapping,11.12,81.75,4.84,2
T-0456,path_planning,3.14,3.85,0.95,3
T-0457,anomaly_detection,5.48,20.95,1.8,4
T-0458,terrain_mapping,11.13,70.83,5.42,2
T-0459,terrain_mapping,10.38,65.87,4.16,2
T-0460,terrain_mapping,9.33,78.61,5.21,2
T-0461,anomaly_detection,5.29,32.35,1.96,4
T-0462,anomaly_detection,4.96,34.21,1.64,4
T-0463,terrain_mapping,11.87,68.74,5.04,2
T-0464,object_tracking,5.56,18.26,1.37,5
T-0465,anomaly_detection,4.34,28.46,1.91,4
T-0466,object_tracking,4.05,22.27,1.77,5
T-0467,anomaly_detection,6.49,21.04,2.09,4
T-0468,terrain_mapping,8.56,69.08,4.38,2
T-0469,terrain_mapping,11.16,62.22,5.49,2
T-0470,terrain_mapping,10.14,87.7,5.3,2
T-0471,image_processing,9.16,47.19,3.4,3
T-0472,image_processing,6.44,44.96,3.16,3
T-0473,object_tracking,4.09,24.84,1.61,5
T-0474,anomaly_detection,6.9,26.46,1.51,4
T-0475,object_tracking,5.49,20.58,1.61,5
T-0476,anomaly_detection,5.17,31.59,1.91,4
T-0477,anomaly_detection,6.99,27.24,1.71,4
T-0478,image_processing,6.46,58.81,2.64,3
T-0479,terrain_mapping,11.14,75.63,4.52,4
T-0480,anomaly_detection,4.2,20.67,2.0,3
T-0481,image_processing,8.71,43.29,3.48,3
T-0482,path_planning,3.1,4.65,0.97,5
T-0483,terrain_mapping,10.52,65.59,4.99,2
T-0484,object_tracking,5.77,19.5,1.46,2
T-0485,path_planning,2.56,6.52,1.12,5
T-0486,object_tracking,4.37,18.26,1.47,5
T-0487,terrain_mapping,10.11,79.17,4.9,2
T-0488,object_tracking,4.23,18.52,1.47,5
T-0489,anomaly_detection,6.76,28.85,1.97,4
T-0490,path_planning,2.61,3.92,1.08,5
T-0491,terrain_mapping,10.39,77.24,4.63,2
T-0492,object_tracking,5.39,21.45,1.8,5
T-0493,terrain_mapping,9.16,65.61,5.26,2
T-0494,anomaly_detection,6.86,27.27,1.64,4
T-0495,object_tracking,5.01,19.95,1.61,5
T-0496,terrain_mapping,9.95,62.48,4.05,2
T-0497,anomaly_detection,4.1,23.37,1.7,4
T-0498,object_tracking,5.49,22.66,1.53,1
T-0499,anomaly_detection,6.33,32.35,1.76,4
T-0500,image_processing,9.04,48.83,2.72,3
T-0501,path_planning,2.6,8.0,0.98,5
T-0502,image_processing,7.76,59.88,3.28,3
T-0503,object_tracking,5.38,23.61,1.57,5
T-0504,object_tracking,4.28,17.07,1.32,3
T-0505,object_tracking,4.56,20.39,1.39,5
T-0506,anomaly_detection,5.72,34.29,1.86,4
T-0507,image_processing,6.54,55.0,2.91,3
T-0508,path_planning,3.4,3.66,0.86,5
T-0509,path_planning,3.52,6.38,1.0,5
T-0510,anomaly_detection,5.88,25.63,1.55,4
T-0511,image_processing,7.61,55.0,3.19,3
T-0512,terrain_mapping,11.8,69.82,4.0,2
T-0513,image_processing,8.92,49.17,3.16,3
T-0514,image_processing,9.18,47.95,3.47,3
T-0515,terrain_mapping,9.07,84.85,4.51,2
T-0516,object_tracking,5.7,22.88,1.74,5
T-0517,image_processing,6.4,55.68,2.96,2
T-0518,terrain_mapping,9.83,89.76,4.64,2
T-0519,path_planning,3.76,4.51,1.15,5
T-0520,image_processing,8.62,45.01,2.87,3
T-0521,path_planning,2.1,6.13,1.09,5
T-0522,terrain_mapping,10.62,81.11,4.0,2
T-0523,path_planning,3.19,5.6,0.98,3
T-0524,image_processing,9.95,48.45,2.63,4
T-0525,image_processing,8.92,42.05,2.81,3
T-0526,path_planning,2.77,7.07,1.15,5
T-0527,path_planning,2.14,5.82,1.04,5
T-0528,anomaly_detection,6.17,29.42,1.61,4
T-0529,terrain_mapping,11.44,62.6,4.15,2
T-0530,object_tracking,5.46,18.52,1.46,5
T-0531,path_planning,2.55,3.42,1.02,5
T-0532,object_tracking,4.57,24.41,1.22,5
T-0533,anomaly_detection,4.62,29.1,1.63,4
T-0534,image_processing,9.14,55.88,2.74,3
T-0535,path_planning,3.0,5.97,1.01,5
T-0536,anomaly_detection,6.8,21.98,2.1,4
T-0537,anomaly_detection,5.64,22.59,1.83,4
T-0538,image_processing,6.07,41.35,2.76,1
T-0539,terrain_mapping,10.03,78.86,4.75,2
T-0540,terrain_mapping,8.33,76.1,4.92,2
T-0541,anomaly_detection,4.24,33.81,2.18,4
T-0542,anomaly_detection,5.17,29.51,2.08,4
T-0543,image_processing,7.24,48.75,3.45,3
T-0544,path_planning,2.17,5.17,0.98,5
T-0545,anomaly_detection,6.0,29.87,1.62,2
T-0546,image_processing,6.66,59.06,3.02,3
